000000|||
0000000033008||000001|
0000000059411||000001|
000002||000001|
000005||000001|A
000006||000001|
000008|||
000010||000001|
000012||000001|
000017|||
000020|||
000022|||
000025|||
000027|||
0000273|||
000029|||
000067|||
000068|||
000101|||
000104|||
000127|||
000128|||
000136|||
000155|||
000158|||
000182|||
000228|||
000229|||
000230|||
000231|||
000233|||
000234|||
000235|||
000237|||
000238|||
000239|||
000247|||
000248|||
000275|||
000276|||
000277|||
000278|||
000279|||
000280|||
000281|||
000282|||
000283|||
000284|||
000292|||
000296|||
000298||000001|Teste
000299||000001|
000300||000001|
000302|||
000303|||
000308|||
000310|||
000319|||
000322|||
000331|||
000332|||
000341|||
000342|||
000381|||
000382|||
000383|||
000388|||
000393|||
000396|||
000397|||
000433|||
000451|||
000461||000001|
000500|||
000539|||
000548|||
000613|||
000615||000001|
000630||000001|
000635||000001|
000643|||
000651||000001|
000666|||
000667|||
000668|||
000669|||
000670|||
000671|||
000672|||
000673|||
000674|||
000675|||
000676|||
000677|||
000678|||
000679|||
000680|||
000681|||
000682|||
000683|||
000684|||
000685|||
000726|||
000740||000001|
000763|||
000795||000001|
000814|||
000833|||
000835||000001|
000836||000001|
000837||000001|
000845||000001|
000846|||
000857||000001|
000861||000001|
000862||000001|
000863||000001|
000864||000001|
000865||000001|
000866||000001|
000869|||
000872||000001,000002,000003|
000873||000001,000002,000003|
000900||000001|
000904||000002,000003|
000905||000003|
000912||000001|
000913||000001|
000915||000001,000002|
000916||000001,000002|
000917||000001,000002|
000918||000002,000003|
000919||000003|
000924|||
000925|||
000926|||
000927|||
000928|||
000929|||
000930|||
000931|||
000932|||
000935||000001|
000936||000001,000002|
000970||000001,000003|
000978||000001|
000983||000002,000003|
000994||000001|
000995|||
001018|||
001036|||
001049||000001|
001050|||
001081|||
001095||000001,000002,000003|
001105||000001,000002|
001107||000001|
001108||000001|
001213|||
001272||000001|
001284||000001|
001285||000001|
001286||000001|
001311||000001|
001326||000001|
001327||000001|
001328||000001|
001329||000001|
001330||000001|
001340||000001|
001388||000001,000002|
001417||000001|
001418||000001|
001431||000001,000002|
001436||000001,000002|
001439|||
001445||000001,000002|
001447|||
001452|||
001462|||
001463|||
001483||000001|
